Timestep ; SegregationEntropy
201 ; 0.7661706539115377
202 ; 0.7666266156433417
203 ; 0.7653000618659692
204 ; 0.7649366217795277
205 ; 0.7645958316195774
206 ; 0.7634144274167347
207 ; 0.7648289766432138
208 ; 0.7646993031499661
209 ; 0.7661224994013888
210 ; 0.7671522206071645
211 ; 0.7647145003108684
212 ; 0.7648053276279374
213 ; 0.7660179844486033
214 ; 0.7649224855372779
215 ; 0.7660435161946538
216 ; 0.7688426436467078
217 ; 0.7729236780021523
218 ; 0.7733419474460314
219 ; 0.7724335836293277
220 ; 0.773128664641395
221 ; 0.7747164753229034
222 ; 0.7722337077182062
223 ; 0.7732886501538812
224 ; 0.7743772889649388
225 ; 0.7742526922343456
226 ; 0.7748439729977953
227 ; 0.7760971933128071
228 ; 0.7774788272860206
